Borough,Inner,Status,Local authority,Political control,Headquarters,Area (sq mi),Area (sq km),Population (2013 est),Nr. in map
Barking and Dagenham,,,Barking and Dagenham London Borough Council,Labour,"Town Hall, 1 Town Square",13.93,36.0785607,194352,25
Barnet,,,Barnet London Borough Council,Conservative,"North London Business Park, Oakleigh Road South",33.49,86.7387651,369088,31
Bexley,,,Bexley London Borough Council,Conservative,"Civic Offices, 2 Watling Street",23.38,60.5539662,236687,23
Brent,,,Brent London Borough Council,Labour,"Brent Civic Centre, Engineers Way",16.7,43.252833,317264,12
Bromley,,,Bromley London Borough Council,Conservative,"Civic Centre, Stockwell Close",57.97,150.1417203,317899,20
Camden,1,,Camden London Borough Council,Labour,"Camden Town Hall, Judd Street",8.4,21.755916,229719,11
City of London,1,City,Corporation of London,,Guildhall,1.12,2.9007888,7000,
Croydon,,,Croydon London Borough Council,Labour,"Bernard Weatherill House, Mint Walk",33.41,86.5315659,372752,19
Ealing,,,Ealing London Borough Council,Labour,"Perceval House, 14-16 Uxbridge Road",21.44,55.5293856,342494,13
Enfield,,,Enfield London Borough Council,Labour,"Civic Centre, Silver Street",31.74,82.2062826,320524,30
Greenwich,1,Royal,Greenwich London Borough Council,Labour,"Woolwich Town Hall, Wellington Street",18.28,47.3450172,264008,22
Hackney,1,,Hackney London Borough Council,Labour,"Hackney Town Hall, Mare Street",7.36,19.0623264,257379,9
Hammersmith and Fulham,1,,Hammersmith and Fulham London Borough Council,Labour,"Town Hall, King Street",6.33,16.3946367,178685,4
Haringey,,,Haringey London Borough Council,Labour,"Civic Centre, High Road",11.42,29.5776858,263386,29
Harrow,,,Harrow London Borough Council,Labour,"Civic Centre, Station Road",19.49,50.4789051,243372,32
Havering,,,Havering London Borough Council,Conservative,"Town Hall, Main Road",43.35,112.2760665,242080,24
Hillingdon,,,Hillingdon London Borough Council,Conservative,"Civic Centre, High Street",44.67,115.6948533,286806,33
Hounslow,,,Hounslow London Borough Council,Labour,"Civic Centre, Lampton Road",21.61,55.9696839,262407,14
Islington,1,,Islington London Borough Council,Labour,"Municipal Offices, 222 Upper Street",5.74,14.8665426,215667,10
Kensington and Chelsea,1,Royal,Kensington and Chelsea London Borough Council,Conservative,"The Town Hall, Hornton Street",4.68,12.1211532,155594,3
Kingston upon Thames,,Royal,Kingston upon Thames London Borough Council,Liberal Democrat,"Guildhall, High Street",14.38,37.2440562,166793,16
Lambeth,1,,Lambeth London Borough Council,Labour,"Lambeth Town Hall, Brixton Hill",10.36,26.8322964,314242,6
Lewisham,1,,Lewisham London Borough Council,Labour,"Town Hall, 1 Catford Road",13.57,35.1461643,286180,21
Merton,,,Merton London Borough Council,Labour,"Civic Centre, London Road",14.52,37.6066548,203223,17
Newham,,,Newham London Borough Council,Labour,"Newham Dockside, 1000 Dockside Road",13.98,36.2080602,318227,27
Redbridge,,,Redbridge London Borough Council,Labour,"Town Hall, 128-142 High Road",21.78,56.4099822,288272,26
Richmond upon Thames,,,Richmond upon Thames London Borough Council,Liberal Democrat,"Civic Centre, 44 York Street",22.17,57.4200783,191365,15
Southwark,1,,Southwark London Borough Council,Labour,160 Tooley Street,11.14,28.8524886,298464,7
Sutton,,,Sutton London Borough Council,Liberal Democrat,"Civic Offices, St Nicholas Way",16.93,43.8485307,195914,18
Tower Hamlets,1,,Tower Hamlets London Borough Council,Labour,"Town Hall, Mulberry Place, 5 Clove Crescent",7.63,19.7616237,272890,8
Waltham Forest,,,Waltham Forest London Borough Council,Labour,"Waltham Forest Town Hall, Forest Road",14.99,38.8239501,265797,28
Wandsworth,1,,Wandsworth London Borough Council,Conservative,"The Town Hall, Wandsworth High Street",13.23,34.2655677,310516,5
Westminster,1,City,Westminster City Council,Conservative,"Westminster City Hall, 64 Victoria Street",8.29,21.4710171,226841,2